Metric,Mean,Std,Sheet,Year
Age,23.545454545454547,3.5878583127998898,standard_stats_2018,2018
MP,14.363636363636363,12.651266555351107,standard_stats_2018,2018
Starts,12.636363636363637,12.249675320372596,standard_stats_2018,2018
Min,1134.3636363636363,1112.7950640371544,standard_stats_2018,2018
90s,12.6,12.369155185379476,standard_stats_2018,2018
Gls,0.6363636363636364,1.0269106361049412,standard_stats_2018,2018
Ast,0.9090909090909091,0.9438798074485388,standard_stats_2018,2018
G+A,1.5454545454545454,1.6348477827391983,standard_stats_2018,2018
G-PK,0.6363636363636364,1.0269106361049412,standard_stats_2018,2018
PK,0.0,0.0,standard_stats_2018,2018
PKatt,0.0,0.0,standard_stats_2018,2018
CrdY,1.5454545454545454,1.9679246105293955,standard_stats_2018,2018
CrdR,0.09090909090909091,0.3015113445777636,standard_stats_2018,2018
xG,0.7454545454545454,1.0994213353975228,standard_stats_2018,2018
npxG,0.7454545454545454,1.0994213353975228,standard_stats_2018,2018
xAG,0.7909090909090909,0.9289290020820165,standard_stats_2018,2018
npxG+xAG,1.5545454545454547,1.6955020709887891,standard_stats_2018,2018
PrgC,12.272727272727273,20.18955625609889,standard_stats_2018,2018
PrgP,44.0,42.5746403390563,standard_stats_2018,2018
PrgR,26.90909090909091,42.749162671225605,standard_stats_2018,2018
Gls.1,0.022727272727272728,0.03552208020116758,standard_stats_2018,2018
Ast.1,0.13454545454545455,0.2587803561464292,standard_stats_2018,2018
G+A.1,0.15727272727272726,0.2539327040414806,standard_stats_2018,2018
G-PK.1,0.022727272727272728,0.03552208020116758,standard_stats_2018,2018
G+A-PK,0.15727272727272726,0.2539327040414806,standard_stats_2018,2018
xG.1,0.035454545454545454,0.03327570776516598,standard_stats_2018,2018
xAG.1,0.08545454545454545,0.1413056004809177,standard_stats_2018,2018
xG+xAG,0.12090909090909091,0.14577067918168904,standard_stats_2018,2018
npxG.1,0.035454545454545454,0.03327570776516598,standard_stats_2018,2018
npxG+xAG.1,0.12090909090909091,0.14577067918168904,standard_stats_2018,2018
Tkl,27.272727272727273,23.6984848000496,defensive_action_2018,2018
TklW,19.818181818181817,17.662492359903126,defensive_action_2018,2018
Def 3rd,14.818181818181818,12.488540201466156,defensive_action_2018,2018
Mid 3rd,10.363636363636363,9.468608422283893,defensive_action_2018,2018
Att 3rd,2.090909090909091,2.809076198843508,defensive_action_2018,2018
Tkl.1,12.0,10.816653826391969,defensive_action_2018,2018
Att,19.363636363636363,18.391697731708877,defensive_action_2018,2018
Tkl%,65.69090909090909,20.298938619812347,defensive_action_2018,2018
Lost,7.363636363636363,9.415654276498552,defensive_action_2018,2018
Blocks,13.727272727272727,14.683942992881097,defensive_action_2018,2018
Sh,5.818181818181818,8.268230546110598,defensive_action_2018,2018
Pass,7.909090909090909,9.104444469099095,defensive_action_2018,2018
Int,26.454545454545453,24.925343072317524,defensive_action_2018,2018
Tkl+Int,53.72727272727273,47.47650136455067,defensive_action_2018,2018
Clr,46.27272727272727,53.03789382901796,defensive_action_2018,2018
Err,0.45454545454545453,0.8201995322647243,defensive_action_2018,2018
Touches,675.8181818181819,642.8920310879298,possession_2018,2018
Def Pen,53.09090909090909,62.48272488529057,possession_2018,2018
Def 3rd,264.6363636363636,273.43345542463254,possession_2018,2018
Mid 3rd,309.3636363636364,293.1314629060732,possession_2018,2018
Att 3rd,110.54545454545455,159.95209510122936,possession_2018,2018
Att Pen,14.636363636363637,16.40897758711814,possession_2018,2018
Live,675.8181818181819,642.8920310879298,possession_2018,2018
Att,10.363636363636363,16.818280097992943,possession_2018,2018
Succ,6.545454545454546,11.94456894461777,possession_2018,2018
Succ%,61.96666666666666,33.60874142243354,possession_2018,2018
Tkld,3.8181818181818183,5.363174094101026,possession_2018,2018
Tkld%,38.03333333333333,33.60874142243354,possession_2018,2018
Carries,260.8181818181818,259.7247844091196,possession_2018,2018
TotDist,1327.4545454545455,1376.5431605028855,possession_2018,2018
PrgDist,684.4545454545455,775.8099462673011,possession_2018,2018
1/3,9.0,15.152557539900648,possession_2018,2018
CPA,2.1818181818181817,4.445631154699675,possession_2018,2018
Mis,9.909090909090908,10.912878130489183,possession_2018,2018
Dis,7.7272727272727275,11.064275024518407,possession_2018,2018
Rec,277.0,275.95325691138345,possession_2018,2018
Age,23.0,2.6457513110645907,standard_stats_2024,2024
MP,22.77777777777778,8.885068623507893,standard_stats_2024,2024
Starts,18.11111111111111,8.852181149926334,standard_stats_2024,2024
Min,1613.7777777777778,814.3119454143139,standard_stats_2024,2024
90s,17.93333333333333,9.0495856258726,standard_stats_2024,2024
Gls,1.0,1.6583123951777,standard_stats_2024,2024
Ast,0.8888888888888888,1.0540925533894598,standard_stats_2024,2024
G+A,1.8888888888888888,1.6158932858054431,standard_stats_2024,2024
G-PK,1.0,1.6583123951777,standard_stats_2024,2024
PK,0.0,0.0,standard_stats_2024,2024
PKatt,0.0,0.0,standard_stats_2024,2024
CrdY,3.111111111111111,1.6158932858054431,standard_stats_2024,2024
CrdR,0.5555555555555556,0.7264831572567789,standard_stats_2024,2024
xG,1.0777777777777777,1.4575474072716963,standard_stats_2024,2024
npxG,1.0777777777777777,1.4575474072716963,standard_stats_2024,2024
xAG,1.511111111111111,1.3023483063724202,standard_stats_2024,2024
npxG+xAG,2.588888888888889,2.4007521969397656,standard_stats_2024,2024
PrgC,25.22222222222222,21.78748366481188,standard_stats_2024,2024
PrgP,67.22222222222223,39.51511665735588,standard_stats_2024,2024
PrgR,54.666666666666664,61.69481339626534,standard_stats_2024,2024
Gls.1,0.05888888888888889,0.10373577546396957,standard_stats_2024,2024
Ast.1,0.03888888888888889,0.04371625682868001,standard_stats_2024,2024
G+A.1,0.09666666666666666,0.09746794344808965,standard_stats_2024,2024
G-PK.1,0.05888888888888889,0.10373577546396957,standard_stats_2024,2024
G+A-PK,0.09666666666666666,0.09746794344808965,standard_stats_2024,2024
xG.1,0.05666666666666667,0.09041570660012563,standard_stats_2024,2024
xAG.1,0.07555555555555554,0.05854722690083432,standard_stats_2024,2024
xG+xAG,0.13333333333333333,0.13847382424126228,standard_stats_2024,2024
npxG.1,0.05666666666666667,0.09041570660012563,standard_stats_2024,2024
npxG+xAG.1,0.13333333333333333,0.13847382424126228,standard_stats_2024,2024
Tkl,28.22222222222222,16.513462521362516,defensive_action_2024,2024
TklW,18.444444444444443,11.3480296870328,defensive_action_2024,2024
Def 3rd,15.88888888888889,9.532109478552536,defensive_action_2024,2024
Mid 3rd,9.666666666666666,7.053367989832942,defensive_action_2024,2024
Att 3rd,2.6666666666666665,2.598076211353316,defensive_action_2024,2024
Tkl.1,15.222222222222221,8.885068623507893,defensive_action_2024,2024
Att,27.444444444444443,15.452435981999011,defensive_action_2024,2024
Tkl%,59.51111111111111,18.296956334623285,defensive_action_2024,2024
Lost,12.222222222222221,7.276293317647691,defensive_action_2024,2024
Blocks,22.77777777777778,14.157840387730202,defensive_action_2024,2024
Sh,7.0,7.035623639735144,defensive_action_2024,2024
Pass,15.777777777777779,12.060035010083697,defensive_action_2024,2024
Int,20.88888888888889,14.242931970318159,defensive_action_2024,2024
Tkl+Int,49.111111111111114,27.406406388125955,defensive_action_2024,2024
Clr,49.22222222222222,37.877360579169775,defensive_action_2024,2024
Err,0.5555555555555556,0.7264831572567789,defensive_action_2024,2024
Touches,1094.7777777777778,655.8595081604325,possession_2024,2024
Def Pen,77.33333333333333,67.26812023536856,possession_2024,2024
Def 3rd,405.6666666666667,334.7891127262056,possession_2024,2024
Mid 3rd,491.3333333333333,292.00299655996685,possession_2024,2024
Att 3rd,205.88888888888889,195.95627346709549,possession_2024,2024
Att Pen,26.444444444444443,22.221111083331945,possession_2024,2024
Live,1094.7777777777778,655.8595081604325,possession_2024,2024
Att,20.555555555555557,20.329234559564156,possession_2024,2024
Succ,10.444444444444445,8.70504323813373,possession_2024,2024
Succ%,61.0375,19.622577193485206,possession_2024,2024
Tkld,8.666666666666666,11.467344941179714,possession_2024,2024
Tkld%,27.6875,21.045830092579248,possession_2024,2024
Carries,577.6666666666666,352.4858153174394,possession_2024,2024
TotDist,2914.4444444444443,1774.9879655304082,possession_2024,2024
PrgDist,1495.888888888889,992.3743553272177,possession_2024,2024
1/3,18.666666666666668,14.882876066137216,possession_2024,2024
CPA,4.888888888888889,6.735065783725584,possession_2024,2024
Mis,19.333333333333332,12.678722333105966,possession_2024,2024
Dis,8.666666666666666,6.34428877022476,possession_2024,2024
Rec,648.3333333333334,403.6183221807454,possession_2024,2024
